AIRPORTCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYNAME,CURRENCYCODE
AAA,Anaa,AAA,Anaa,French Polynesia,XPF
AAE,Les Salines,AAE,Annaba,Algeria,DZD
AAL,Aalborg,AAL,Aalborg,Denmark,DKK
AAN,Al Ain,AAN,Al Ain,United Arab Emirates,AED
AAO,Anaco,AAO,Anaco,Venezuela,VEF
AAP,ANDRAU AIRPARK,AAP,Houston,United States,USD
AAQ,Anapa,AAQ,Anapa,Russian Federation,RUB
AAR,Tirstrup,AAR,Aarhus,Denmark,DKK
AAX,Araxa Airport,AAX,Araxa,Brazil,BRL
AAY,Al Ghaydah,AAY,Al Ghaydah,Yemen,YER
ABA,Abakan,ABA,Abakan,Russian Federation,RUB
ABD,Abadan Airport,ABD,Abadan,Iran,IRR
ABE,Allentown,ABE,Allentown,United States,USD
ABF,Abaiang,ABF,Abaiang,Kiribati,AUD
ABH,Alpha Airport,ABH,Alpha,Australia,AUD
ABI,Abilene Municipal,ABI,Abilene,United States,USD
ABJ,F Houphouet Boig,ABJ,Abidjan,Ivory Coast,
ABK,Kabri Dar,ABK,Kabri Dar,Ethiopia,ETB
ABL,Ambler,ABL,Ambler,United States,USD
ABM,Bamaga,ABM,Bamaga,Australia,AUD
ABQ,Albuquerque Int'l,ABQ,Albuquerque,United States,USD
ABR,Aberdeen Municipal,ABR,Aberdeen,United States,USD
ABS,Abu Simbel,ABS,Abu Simbel,Egypt,EGP
ABT,Al Baha,ABT,Al Baha,Saudi Arabia,SAR
ABU,Atambua,ABU,Atambua,Indonesia,IDR
ABV,Abuja Airport,ABV,Abuja,Nigeria,NGN
ABX,Albury,ABX,Albury,Australia,AUD
ABY,Dougherty Coun,ABY,Albany,United States,USD
ABZ,Dyce,ABZ,Aberdeen,United Kingdom,GBP
ACA,Alvarez Int'l,ACA,Acapulco,Mexico,MXN
ACB,Bellaire - Antrim County,ACB,Bellaire,United States,USD
ACC,Kotoka,ACC,Accra,Ghana,GHS
ACD,Acandi,ACD,Acandi,Colombia,COP
ACE,Lanzarote,ACE,Lanzarote,Spain,EUR
ACH,Altenrhein,ACH,Altenrhein,Switzerland,CHF
ACI,The Blaye,ACI,Alderney,United Kingdom,GBP
ACK,Memorial,ACK,Nantucket,United States,USD
ACR,Araracuara,ACR,Araracuara,Colombia,COP
ACT,Waco Municipal,ACT,Waco,United States,USD
CNW,James Connall,ACT,Waco,United States,USD
ACV,Arcata Eureka,ACV,Arcata,United States,USD
ADA,Adana,ADA,Adana,Turkey,TRY
ADD,Bole,ADD,Addis Ababa,Ethiopia,ETB
ADE,Aden Int'l,ADE,Aden,Yemen,YER
ADF,Adiyaman Airport,ADF,Adiyaman,Turkey,TRY
ADI,Arandis,ADI,Arandis,Namibia,NAD
ADK,Adak Island,ADK,Adak Island,United States,USD
ADL,Adelaide,ADL,Adelaide,Australia,AUD
ADQ,Kodiak,ADQ,Kodiak,United States,USD
ADZ,San Andres Island,ADZ,San Andres Island,Colombia,COP
AEA,Abemama Atoll,AEA,Abemama Atoll,Kiribati,AUD
AEG,Aek Godang,AEG,Aek Godang,Indonesia,IDR
AEH,Abecher,AEH,Abecher,Chad,XAF
AEO,Aioun El Atrouss,AEO,Aioun El Atrouss,Mauritania,MRO
AER,Adler Sochi,AER,Adler Sochi,Russian Federation,RUB
AES,Vigra,AES,Aalesund,Norway,NOK
AEX,,AEX,Alexandria,United States,USD
ESF,Esler Field,AEX,Alexandria,United States,USD
AEY,Akureyri,AEY,Akureyri,Iceland,ISK
AFA,San Rafael,AFA,San Rafael,Argentina,ARS
AFL,Alta Floresta Mato Grosso,AFL,Alta Floresta,Brazil,BRL
AGA,Agadir Almassira,AGA,Agadir,Morocco,MAD
AGE,Wangerooge Flugplatz,AGE,Wangerooge,Germany,EUR
AGF,La Garenne,AGF,Agen,France,EUR
AGH,Angelholm,AGH,Helsingborg,Sweden,SEK
AGJ,Aguni,AGJ,Aguni,Japan,JPY
AGP,Malaga,AGP,Malaga,Spain,EUR
AGR,Kheria,AGR,Agra,India,INR
AGS,Augusta Bush Field,AGS,Augusta,United States,USD
DNL,Daniel Field,AGS,Augusta,United States,USD
AGT,Guarani Intl Airport,AGT,Ciudad Del Este,Paraguay,PYG
AGU,Aguascalientes,AGU,Aguascalientes,Mexico,MXN
AGV,Acarigua,AGV,Acarigua,Venezuela,VEF
AGX,Agatti Island,AGX,Agatti Island,India,INR
AGZ,Aggeneys,AGZ,Aggeneys,South Africa,ZAR
AHB,Abha,AHB,Abha,Saudi Arabia,SAR
AHO,Fertilia,AHO,Alghero,Italy,EUR
AHU,Charif Al Idrissi,AHU,Al Hoceima,Morocco,MAD
AIA,Alliance,AIA,Alliance,United States,USD
AIC,Airok,AIC,Airok,Marshall Islands,USD
AIG,Yalinga,AIG,Yalinga,Central African Republic,XAF
AIM,Ailuk Island,AIM,Ailuk Island,Marshall Islands,USD
AIN,Wainwright,AIN,Wainwright,United States,USD
AIP,Adampur Airport,AIP,Adampur,India,INR
AIS,Arorae Island,AIS,Arorae Island,Kiribati,AUD
AIT,Aitutaki,AIT,Aitutaki,Cook Islands,NZD
AIU,Atiu Island,AIU,Atiu Island,Cook Islands,NZD
ACY,Atlantic city International,AIY,Atlantic Cty,United States,USD
AIY,Bader Field,AIY,Atlantic Cty,United States,USD
AJA,Campo Dell Oro,AJA,Ajaccio,France,EUR
AJF,JOUF,AJF,Jouf,Saudi Arabia,SAR
AJI,Agri Airport,AJI,Agri,Turkey,TRY
AJJ,Akjoujt,AJJ,Akjoujt,Mauritania,MRO
AJL,Aizawl,AJL,Aizawl,India,INR
AJN,Ouani,AJN,Anjouan,Comoros,KMF
AJR,Arvidsjaur,AJR,Arvidsjaur,Sweden,SEK
AJU,Aracaju,AJU,Aracaju,Brazil,BRL
AJY,Agades,AJY,Agades,Niger,XOF
AKD,Akola,AKD,Akola,India,INR
AKF,Kufrah,AKF,Kufrah,Libyan Arab Jamahiriya,LYD
AKJ,Asahikawa,AKJ,Asahikawa,Japan,JPY
AKL,Auckland Int'l,AKL,Auckland,New Zealand,NZD
AKM,Zakouma,AKM,Zakouma,Chad,XAF
AKN,King Salmon,AKN,King Salmon,United States,USD
AKR,Akure,AKR,Akure,Nigeria,NGN
AKX,Aktyubinsk,AKX,Aktyubinsk,Kazakhstan,KZT
AKY,Sittwe Civil,AKY,Sittwe,Myanmar,MMK
ALA,Almaty,ALA,Almaty,Kazakhstan,KZT
ALB,Albany,ALB,Albany,United States,USD
ALC,Alicante,ALC,Alicante,Spain,EUR
ALF,Alta Airport,ALF,Alta,Norway,NOK
ALG,Houari Boumediene,ALG,Algiers,Algeria,DZD
ALH,Albany,ALH,Albany,Australia,AUD
ALL,ALBENGA,ALL,Albenga,Italy,EUR
ALM,Alamogordo Municipal,ALM,Alamogordo,United States,USD
ALO,Waterloo,ALO,Waterloo,United States,USD
ALP,Nejrab,ALP,Aleppo,Syrian Arab Republic,SYP
ALR,Alexandra,ALR,Alexandra,New Zealand,NZD
ALS,Alamosa Municipal,ALS,Alamosa,United States,USD
ALU,Alula,ALU,Alula,Somalia,SOS
ALW,Walla Walla,ALW,Walla Walla,United States,USD
ALY,Alexandria,ALY,Alexandria,Egypt,EGP
HBE,Alexandria - Burj,ALY,Alexandria,Egypt,EGP
AMA,Amarillo Internationa,AMA,Amarillo,United States,USD
AMB,Ambilobe,AMB,Ambilobe,Madagascar,MGA
AMC,Am Timan,AMC,Am Timan,Chad,XAF
AMD,Ahmedabad,AMD,Ahmedabad,India,INR
AMH,Arba Mintch,AMH,Arba Mintch,Ethiopia,ETB
AMI,Selaparang,AMI,Mataram,Indonesia,IDR
ADJ,Marka,AMM,Amman,Jordan,JOD
AMM,Queen Alia Int'l,AMM,Amman,Jordan,JOD
AMO,Mao,AMO,Mao,Chad,XAF
AMP,Ampanihy,AMP,Ampanihy,Madagascar,MGA
AMQ,Pattimura,AMQ,Ambon,Indonesia,IDR
AMS,Schiphol,AMS,Amsterdam,Netherlands,ANG
AMU,Amanab,AMU,Amanab,Papua New Guinea,PGK
AMY,Ambatomainty,AMY,Ambatomainty,Madagascar,MGA
ANB,Anniston County,ANB,Anniston,United States,USD
ANC,Anchorage Int'l,ANC,Anchorage,United States,USD
MRI,Merrill Field,ANC,Anchorage,United States,USD
ANE,Angers - Marce Airport,ANE,Angers,France,EUR
ANF,Cerro Moreno,ANF,Antofagasta,Chile,CLP
ANG,Brie-Champnier,ANG,Angouleme,France,EUR
ANI,Aniak,ANI,Aniak,United States,USD
ANK,Ankara - Etimesgut,ANK,Ankara,Turkey,TRY
ESB,Esenboga,ANK,Ankara,Turkey,TRY
ANM,Antsirabato,ANM,Antalaha,Madagascar,MGA
ANO,Angoche,ANO,Angoche,Mozambique,MZN
ANR,Deurne,ANR,Antwerp,Belgium,EUR
ANS,Andahuaylas,ANS,Andahuaylas,Peru,PEN
ANU,Vc Bird Int'l,ANU,Antigua,Antigua & Barbuda,XCD
ANV,Anvik,ANV,Anvik,United States,USD
ANX,Andenes,ANX,Andenes,Norway,NOK
AOC,Altenburg - Nobitz Airport,AOC,Altenburg,Germany,EUR
AOD,Abou Deia,AOD,Abou Deia,Chad,XAF
AOE,Eskisehir Anadolu,AOE,Eskisehir,Turkey,TRY
AOI,Falconara,AOI,Ancona,Italy,EUR
AOJ,Aomori,AOJ,Aomori,Japan,JPY
AOK,Karpathos,AOK,Karpathos,Greece,EUR
AOL,Paso De Los Libres,AOL,Paso De Los Libres,Argentina,ARS
AOO,Altoona,AOO,Altoona,United States,USD
AOR,Alor Setar,AOR,Alor Setar,Malaysia,MYR
AOS,Amook,AOS,Amook,United States,USD
APC,Napa County,APC,Napa,United States,USD
APF,Naples,APF,Naples,United States,USD
APK,Apataki,APK,Apataki,French Polynesia,XPF
APL,Nampula,APL,Nampula,Mozambique,MZN
APN,Alpena County Regional,APN,Alpena,United States,USD
APO,Apartado,APO,Apartado,Colombia,COP
APP,Asapa,APP,Asapa,Papua New Guinea,PGK
APQ,Arapiraca,APQ,Arapiraca,Brazil,BRL
APW,Faleolo,APW,Apia,Samoa,WST
APZ,Zapala,APZ,Zapala,Argentina,ARS
AQA,Araraquara Airport,AQA,Araraquara,Brazil,BRL
AQI,HAFAR AL BATIN,AQI,Qaisumah,Saudi Arabia,SAR
AQJ,King Hussein Intl Airport,AQJ,Aqaba,Jordan,JOD
AQP,Rodriguez Ballon,AQP,Arequipa,Peru,PEN
LFT,Lafayette Regional,ARA,New Iberia,United States,USD
ARC,Arctic Village,ARC,Arctic Village,United States,USD
ARD,Alor Island,ARD,Alor Island,Indonesia,IDR
ARE,Antonio Juarbe Pol,ARE,Arecibo,Puerto Rico,USD
ARH,Arkhangelsk,ARH,Arkhangelsk,Russian Federation,RUB
ARI,Chacalluta,ARI,Arica,Chile,CLP
ARM,Armidale,ARM,Armidale,Australia,AUD
ARP,Aragip,ARP,Aragip,Papua New Guinea,PGK
ARR,Alto Rio Senguerr,ARR,Alto Rio Senguerr,Argentina,ARS
ART,Watertown,ART,Watertown,United States,USD
ARU,Aractuba,ARU,Aractuba,Brazil,BRL
ARV,Noble F Lee,ARV,Minocqua,United States,USD
ARW,Arad,ARW,Arad,Romania,RON
ARZ,N'Zeto,ARZ,N'Zeto,Angola,AOA
ASA,Assab,ASA,Assab,Eritrea,ERN
ASB,Ashgabad,ASB,Ashgabad,Turkmenistan,TMM
ASD,Andros Town,ASD,Andros Town,Bahamas,BSD
ASE,Aspen,ASE,Aspen,United States,USD
ASF,Astrakhan,ASF,Astrakhan,Russian Federation,RUB
ASJ,Amami O Shima,ASJ,Amami O Shima,Japan,JPY
ASK,Yamoussoukro,ASK,Yamoussoukro,Ivory Coast,
ASM,Asmara Int'l,ASM,Asmara,Eritrea,ERN
ASO,Asosa,ASO,Asosa,Ethiopia,ETB
ASP,Alice Springs,ASP,Alice Springs,Australia,AUD
ASR,Kayseri,ASR,Kayseri,Turkey,TRY
ASU,Silvio Pettirossi,ASU,Asuncion,Paraguay,PYG
ASV,Amboseli,ASV,Amboseli,Kenya,KES
ASW,Aswan,ASW,Aswan,Egypt,EGP
ATB,Atbara,ATB,Atbara,Sudan,SDG
ATC,Arthur's Town,ATC,Arthur's Town,Bahamas,BSD
ATH,Athinai,ATH,Athens,Greece,EUR
ATI,Artigas,ATI,Artigas,Uruguay,UYU
ATJ,Antsirabe,ATJ,Antsirabe,Madagascar,MGA
ATK,Atqasuk,ATK,Atqasuk,United States,USD
ATL,William B Hartsfield,ATL,Atlanta,United States,USD
ATM,Altamira,ATM,Altamira,Brazil,BRL
ATQ,Amritsar,ATQ,Amritsar,India,INR
ATR,Mouakchott,ATR,Atar,Mauritania,MRO
ATT,Atmautluak,ATT,Atmautluak,United States,USD
ATV,Ati,ATV,Ati,Chad,XAF
ATW,Outagamie County,ATW,Appleton,United States,USD
ATY,Watertown,ATY,Watertown,United States,USD
ATZ,Assiut,ATZ,Assiut,Egypt,EGP
AUA,Reina Beatrix,AUA,Aruba,Aruba,AWG
AUC,Arauca,AUC,Arauca,Colombia,COP
AUG,Augusta,AUG,Augusta,United States,USD
AUH,Abu Dhabi Int'l,AUH,Abu Dhabi,United Arab Emirates,AED
ZVJ,Abu Dhabi Bus Station,AUH,Abu Dhabi,United Arab Emirates,AED
AUJ,Ambunti,AUJ,Ambunti,Papua New Guinea,PGK
AUK,Alakanuk,AUK,Alakanuk,United States,USD
AUP,Agaun,AUP,Agaun,Papua New Guinea,PGK
AUQ,Atuona,AUQ,Atuona,French Polynesia,XPF
AUR,Aurillac,AUR,Aurillac,France,EUR
AUS,Robert Mueller Municipal,AUS,Austin,United States,USD
AUU,Aurukun Mission,AUU,Aurukun Mission,Australia,AUD
CWA,Central Wisonsin,AUW,Wausau,United States,USD
AUX,Araguaina,AUX,Araguaina,Brazil,BRL
AUY,Aneityum,AUY,Aneityum,Vanuatu,VUV
AVI,Ciego De Avila,AVI,Ciego De Avila,Cuba,CUP
AVL,Asheville Municipal,AVL,Asheville,United States,USD
AVN,Avignon,AVN,Avignon,France,EUR
AVP,Scranton Int'l,AVP,Scranton,United States,USD
AVU,Avu Avu,AVU,Avu Avu,Solomon Islands,SBD
AVV,,AVV,Avalon,Australia,AUD
AVX,Avalon Bay,AVX,Catalina Island,United States,USD
CIB,Ap In The Sky,AVX,Catalina Island,United States,USD
AWA,Awassa,AWA,Awassa,Ethiopia,ETB
AWB,AWABA,AWB,Awaba,Papua New Guinea,PGK
AWD,Aniwa,AWD,Aniwa,Vanuatu,VUV
AWH,Awareh,AWH,Awareh,Ethiopia,ETB
AWZ,Ahwaz,AWZ,Ahwaz,Iran,IRR
AXA,Wallblake,AXA,Anguilla,Anguilla,XCD
AXD,Demokritos,AXD,Alexandroupolis,Greece,EUR
AXK,Ataq,AXK,Ataq,Yemen,YER
AXM,El Eden,AXM,Armenia,Colombia,COP
AXP,Spring Point,AXP,Spring Point,Bahamas,BSD
AXR,Arutua,AXR,Arutua,French Polynesia,XPF
AXT,Akita,AXT,Akita,Japan,JPY
AXU,Axum,AXU,Axum,Ethiopia,ETB
AYG,Yaguara,AYG,Yaguara,Colombia,COP
AYP,Yanamilla,AYP,Ayacucho,Peru,PEN
AYQ,Connellan,AYQ,Ayers Rock,Australia,AUD
AYT,Antalya,AYT,Antalya,Turkey,TRY
AYW,Ayawasi,AYW,Ayawasi,Indonesia,IDR
AZB,Amazon Bay,AZB,Amazon Bay,Papua New Guinea,PGK
AZD,Yazd,AZD,Yazd,Iran,IRR
AZN,Andizhan,AZN,Andizhan,Uzbekistan,UZS
AZO,Battle Creek Int'l,AZO,Kalamazoo,United States,USD
AZR,Adrar,AZR,Adrar,Algeria,DZD
AZS,Samana El Catey Intl Airport,AZS,Samana,Dominican Republic,DOP
AZZ,Ambriz,AZZ,Ambriz,Angola,AOA
BAA,Bialla,BAA,Bialla,Papua New Guinea,PGK
BAG,Loakan,BAG,Baguio,Philippines,PHP
BAH,Bahrain Int'l,BAH,Bahrain,Bahrain,BHD
BAI,BUENOS AIRES,BAI,Buenos Aires,Costa Rica,CRC
BAL,Batman,BAL,Batman,Turkey,TRY
BAO,Ban Mak Khaen Airport,BAO,Ban Mak Khaen,Thailand,THB
BAQ,E Cortissoz,BAQ,Barranquilla,Colombia,COP
BAS,Balalae,BAS,Balalae,Solomon Islands,SBD
BAU,Bauru,BAU,Bauru,Brazil,BRL
BAV,Baotou,BAV,Baotou,China,CNY
BAX,Barnaul,BAX,Barnaul,Russian Federation,RUB
BAY,Baia Mare,BAY,Baia Mare,Romania,RON
BAZ,Barcelos Airport,BAZ,Barbelos,Brazil,BRL
BBA,Balmaceda Airport,BBA,Balmaceda,Chile,CLP
BBF,Burlington,BBF,Burlington,United States,USD
BBG,Butaritari,BBG,Butaritari,Kiribati,AUD
BBH,Stralsund Barth Airport,BBH,Barth,Germany,EUR
BBI,Bhubaneshwar,BBI,Bhubaneshwar,India,INR
BBK,Kasane,BBK,Kasane,Botswana,BWP
BBN,Bario,BBN,Bario,Malaysia,MYR
BBO,Berbera,BBO,Berbera,Somalia,SOS
BBQ,Barbuda,BBQ,Barbuda,Antigua & Barbuda,XCD
BBS,Blackbush,BBS,Blackbush,United Kingdom,GBP
BBT,Berberati,BBT,Berberati,Central African Republic,XAF
BBV,Bereby,BBV,Bereby,Ivory Coast,
BBY,Bambari,BBY,Bambari,Central African Republic,XAF
BCA,Baracoa,BCA,Baracoa,Cuba,CUP
BCD,Bacolod,BCD,Bacolod,Philippines,PHP
BCE,Bryce,BCE,Bryce,United States,USD
BCF,Bouca,BCF,Bouca,Central African Republic,XAF
BCM,Bacau,BCM,Bacau,Romania,RON
BCN,Barcelona,BCN,Barcelona,Spain,EUR
BCO,Jinka,BCO,Jinka,Ethiopia,ETB
BCT,Public Non Commercial,BCT,Boca Raton,United States,USD
BCU,Bauchi,BCU,Bauchi,Nigeria,NGN
BCY,Bulchi,BCY,Bulchi,Ethiopia,ETB
BCZ,Bickerton Island,BCZ,Bickerton Island,Australia,AUD
BDA,Bermuda Int'l,BDA,Bermuda,Bermuda,BMD
BDB,Bundaberg,BDB,Bundaberg,Australia,AUD
BDD,Badu Island,BDD,Badu Island,Australia,AUD
BDH,Bandar Lengeh,BDH,Bandar Lengeh,Iran,IRR
BDI,Bird Island,BDI,Bird Island,Seychelles,SCR
BDJ,Sjamsudin Noor,BDJ,Banjarmasin,Indonesia,IDR
BDK,Bondoukou,BDK,Bondoukou,Ivory Coast,
BDO,Husein Sastranegara,BDO,Bandung,Indonesia,IDR
BDQ,Vadodara,BDQ,Vadodara,India,INR
BDR,Igor I. Sikorsky Memorial,BDR,Bridgeport,United States,USD
BDS,Papola Casale,BDS,Brindisi,Italy,EUR
BDT,Gbadolite,BDT,Gbadolite,Congo (Rep. Dem.),CDF
BDU,Bardufoss,BDU,Bardufoss,Norway,NOK
BEB,Benbecula,BEB,Benbecula,United Kingdom,GBP
BED,Hanscom Field,BED,Bedford,United States,USD
BEF,Bluefields,BEF,Bluefields,Nicaragua,NIO
BEG,Beograd,BEG,Belgrade,Yugoslavia,YUM
BEI,Beica,BEI,Beica,Ethiopia,ETB
BEJ,Berau,BEJ,Berau,Indonesia,IDR
BEL,Val De Cans,BEL,Belem,Brazil,BRL
BEM,Bossembele,BEM,Bossembele,Central African Republic,XAF
BEN,Benina Int'l,BEN,Benghazi,Libyan Arab Jamahiriya,LYD
BEP,Bellary,BEP,Bellary,India,INR
BER,Berlin Metropolitan Area,BER,Berlin,Germany,EUR
SXF,Schoenefeld,BER,Berlin,Germany,EUR
THF,Tempelhof,BER,Berlin,Germany,EUR
TXL,Tegel,BER,Berlin,Germany,EUR
BES,Guipavas,BES,Brest,France,EUR
BET,Bethel,BET,Bethel,United States,USD
BEW,Beira,BEW,Beira,Mozambique,MZN
BEY,Beirut Int'l,BEY,Beirut,Lebanon,LBP
BEZ,Beru,BEZ,Beru,Kiribati,AUD
BFC,Bloomfield,BFC,Bloomfield,Australia,AUD
BFD,Bradford,BFD,Bradford,United States,USD
BFF,Scotts Bluff County,BFF,Scottsbluff,United States,USD
BFI,King County Intl Airport,BFI,Georgetown,United States,USD
BFL,Meadows Field,BFL,Bakersfield,United States,USD
BFN,Bloemfontein,BFN,Bloemfontein,South Africa,ZAR
BFO,Buffalo Range,BFO,Buffalo Range,Zimbabwe,ZWD
BFS,Belfast Int'l,BFS,Belfast,United Kingdom,GBP
BHD,Belfast City,BFS,Belfast,United Kingdom,GBP
BFV,Buriram Airport,BFV,Buri Ram,Thailand,THB
BFX,Bafoussam,BFX,Bafoussam,Cameroon,XAF
BGA,Bucaramanga,BGA,Bucaramanga,Colombia,COP
BGB,Booue,BGB,Booue,Gabon,XAF
BGC,Braganca,BGC,Braganca,Portugal,EUR
BGF,Bangui,BGF,Bangui,Central African Republic,XAF
BGG,Bingol Airport,BGG,Bongouanou,Ivory Coast,
BGH,Abbaye,BGH,Boghe,Mauritania,MRO
BGI,Grantley Adams Int'l,BGI,Bridgetown,Barbados,BBD
BGJ,Borgarfjordur Eystri,BGJ,Borgarfjordur Eystri,Iceland,ISK
BGK,Big Creek,BGK,Big Creek,Belize,BZD
BGM,Binghamton,BGM,Binghamton,United States,USD
BGO,Flesland,BGO,Bergen,Norway,NOK
BGR,Bangor Internationa,BGR,Bangor,United States,USD
BGU,Bangassou,BGU,Bangassou,Central African Republic,XAF
BGW,Baghdad International Airport,BGW,Baghdad,Iraq,IQD
SDA,Saddam Int'l,BGW,Baghdad,Iraq,IQD
BHA,Bahia De Caraquez,BHA,Bahia De Caraquez,Ecuador,USD
BHB,Bar Harbour,BHB,Bar Harbour,United States,USD
BHC,Bhurban Heliport,BHC,Bhurban,Pakistan,PKR
BHE,Blenheim,BHE,Blenheim,New Zealand,NZD
BHG,Brus Laguna,BHG,Brus Laguna,Honduras,HNL
BHH,Bisha,BHH,Bisha,Saudi Arabia,SAR
BHI,Comandante,BHI,Bahia Blanca,Argentina,ARS
BHJ,Rudra Mata,BHJ,Bhuj,India,INR
BHK,Bukhara,BHK,Bukhara,Uzbekistan,UZS
BHM,Birmingham,BHM,Birmingham,United States,USD
BHN,Beihan,BHN,Beihan,Yemen,YER
BHO,Bhopal,BHO,Bhopal,India,INR
BHP,BHOJPUR,BHP,Bhojpur,Nepal,NPR
BHQ,Broken Hill,BHQ,Broken Hill,Australia,AUD
BHS,Raglan,BHS,Bathurst,Australia,AUD
BHU,Bhavnagar,BHU,Bhavnagar,India,INR
BHX,Birmingham Int'l,BHX,Birmingham,United Kingdom,GBP
BHY,Beihai,BHY,Beihai,China,CNY
CNF,Tancredo Neves Int'l,BHZ,Belo Horizonte,Brazil,BRL
PLU,Pampulha,BHZ,Belo Horizonte,Brazil,BRL
BIA,Poretta,BIA,Bastia,France,EUR
BID,Block Island,BID,Block Island,United States,USD
BIH,Bishop,BIH,Bishop,United States,USD
BII,Enyu Airfield,BII,Bikini Atoll,Marshall Islands,USD
BIK,Mokmer,BIK,Biak,Indonesia,IDR
BIL,Billings,BIL,Billings,United States,USD
BIM,Bimini Int'l,BIM,Bimini,Bahamas,BSD
NSB,North Sea Plan Base,BIM,Bimini,Bahamas,BSD
BIO,Bilbao,BIO,Bilbao,Spain,EUR
BIQ,Bayonne Anglet,BIQ,Biarritz,France,EUR
BIR,Biratnagar,BIR,Biratnagar,Nepal,NPR
BIS,Bismarck,BIS,Bismarck,United States,USD
BIV,Bria,BIV,Bria,Central African Republic,XAF
BIY,Bisho,BIY,Bisho,South Africa,ZAR
BJA,Bejaia,BJA,Bejaia,Algeria,DZD
BJD,Bakkafjordur,BJD,Bakkafjordur,Iceland,ISK
BJF,Batsfjord,BJF,Batsfjord,Norway,NOK
BJI,Bemidji,BJI,Bemidji,United States,USD
BJL,Yundum Int'l,BJL,Banjul,Gambia,GMD
BJM,Bujumbura Int'l,BJM,Bujumbura,Burundi,BIF
BJO,Bermejo,BJO,Bermejo,Bolivia,BOB
BJR,Bahar Dar,BJR,Bahar Dar,Ethiopia,ETB
PEK,Beijing Capital,BJS,Beijing,China,CNY
BJW,Bajawa,BJW,Bajawa,Indonesia,IDR
BJX,Guanajuato del Bajio,BJX,Leon,Mexico,MXN
BKB,,BKB,Bikaner,India,INR
BKC,Buckland,BKC,Buckland,United States,USD
BKG,Branson Airport,BKG,Branson,United States,USD
BKI,Kota Kinabalu,BKI,Kota Kinabalu,Malaysia,MYR
BKJ,Boke,BKJ,Boke,Guinea,GNF
BKK,Bangkok Int'l,BKK,Bangkok,Thailand,THB
DMK,Don Muang,BKK,Bangkok,Thailand,THB
BKM,Bakalalan,BKM,Bakalalan,Malaysia,MYR
BKN,BKN,BKN,Birni Nkoni,Niger,XOF
BKO,Bamako,BKO,Bamako,Mali,XOF
BKQ,Blackall,BKQ,Blackall,Australia,AUD
BKR,Bokoro,BKR,Bokoro,Chad,XAF
BKS,Padangkemiling,BKS,Bengkulu,Indonesia,IDR
BKU,Betioky,BKU,Betioky,Madagascar,MGA
BKW,Beckley,BKW,Beckley,United States,USD
BKX,Brookings,BKX,Brookings,United States,USD
BKY,Kamenbe,BKY,Bukavu,Congo (Rep. Dem.),CDF
BKZ,Bukoba,BKZ,Bukoba,Tanzania,TZS
BLA,Barcelonagen Ja A Anzoategui,BLA,Barcelona,Venezuela,VEF
BLB,Panama Pacifico,BLB,Balboa,Panama,PAB
BLC,Bali,BLC,Bali,Cameroon,XAF
BLE,Dala,BLE,Borlange,Sweden,SEK
BLF,Mercer County,BLF,Bluefield,United States,USD
BLG,Belaga,BLG,Belaga,Malaysia,MYR
BLI,Bellingham,BLI,Bellingham,United States,USD
BLK,Blackpool,BLK,Blackpool,United Kingdom,GBP
BLL,Billund,BLL,Billund,Denmark,DKK
BLQ,Guglielmo Marconi,BLQ,Bologna,Italy,EUR
BLR,Bengaluru Intl,BLR,Bangalore,India,INR
BLT,Blackwater,BLT,Blackwater,Australia,AUD
BLZ,Chileka,BLZ,Blantyre,Malawi,MWK
BMB,Bumba,BMB,Bumba,Congo (Rep. Dem.),CDF
BMD,Belo,BMD,Belo,Madagascar,MGA
BME,Broome,BME,Broome,Australia,AUD
BMF,Bakouma,BMF,Bakouma,Central African Republic,XAF
BMG,Bloomington,BMG,Bloomington,United States,USD
BMI,Bloomington,BMI,Bloomington Normal,United States,USD
BMK,Borkum,BMK,Borkum,Germany,EUR
BMM,Bitam,BMM,Bitam,Gabon,XAF
BMO,Bhamo,BMO,Bhamo,Myanmar,MMK
BMP,Brampton Island,BMP,Brampton Island,Australia,AUD
BMQ,Bamburi,BMQ,Bamburi,Kenya,KES
BMU,Bima,BMU,Bima,Indonesia,IDR
BMV,Phung - Duc,BMV,Banmethuot,Vietnam,VND
BMW,Bordj Badji Mokht,BMW,Bordj Badji Mokht,Algeria,DZD
BMY,Belep Island,BMY,Belep Island,New Caledonia,XPF
BNA,Nashville,BNA,Nashville,United States,USD
BNB,Boende,BNB,Boende,Congo (Rep. Dem.),CDF
BNC,Beni,BNC,Beni,Congo (Rep. Dem.),CDF
BND,Bandar Abbas,BND,Bandar Abbas,Iran,IRR
BNE,Brisbane Airport,BNE,Brisbane,Australia,AUD
BNI,Benin City,BNI,Benin City,Nigeria,NGN
BNK,Ballina,BNK,Ballina,Australia,AUD
BNN,Bronnoy,BNN,Bronnoysund,Norway,NOK
BNR,Banfora,BNR,Banfora,Burkina Faso,XOF
BNS,Barinas,BNS,Barinas,Venezuela,VEF
BNW,Boone Municipal Airport,BNW,Boone,United States,USD
BNX,Banja Luka Intl Airport,BNX,Banja Luka,Bosnia and Herzegowina,BAM
BNY,Bellona,BNY,Bellona,Solomon Islands,SBD
BOA,BOMA,BOA,Boma,Congo (Rep. Dem.),CDF
