AIRPORTCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYNAME,CURRENCYCODE
HNM,Hana,HNM,Hana,United States,USD
HNS,Haines Municipal,HNS,Haines,United States,USD
HNY,Hengyang,HNY,Hengyang,China,CNY
HOB,Lea County,HOB,Hobbs,United States,USD
HOD,Hodeidah,HOD,Hodeidah,Yemen,YER
HOE,Houeisay,HOE,Houeisay,Lao People's Democratic Republic,LAK
HOF,HOF,HOF,Hofuf,Saudi Arabia,SAR
HOG,Frank Pais,HOG,Holguin,Cuba,CUP
HOI,Hao Island,HOI,Hao Island,French Polynesia,XPF
HOK,Hooker Creek,HOK,Hooker Creek,Australia,AUD
HOM,Homer,HOM,Homer,United States,USD
HON,Howes,HON,Huron,United States,USD
HOQ,Hof,HOQ,Hof,Germany,EUR
HOR,Horta,HOR,Horta,Portugal,EUR
HOT,Memorial Field,HOT,Hot Springs,United States,USD
EFD,Ellington Field,HOU,Houston,United States,USD
HOU,Hobby,HOU,Houston,United States,USD
IAH,Houston Intercontinental,HOU,Houston,United States,USD
HOV,Hovden,HOV,Orsta Volda,Norway,NOK
HPA,Salote Pilolevu,HPA,Ha'apai,Tonga,TOP
HPB,Hooper Bay,HPB,Hooper Bay,United States,USD
HPH,Cat Bi,HPH,Haiphong,Vietnam,VND
HPN,Westchester County,HPN,Westchester County,United States,USD
HRB,Harbin,HRB,Harbin,China,CNY
HRE,Harare,HRE,Harare,Zimbabwe,ZWD
HRG,Hurghada,HRG,Hurghada,Egypt,EGP
HRK,Kharkov,HRK,Kharkov,Ukraine,UAH
HRL,Valley Int'l,HRL,Harlingen,United States,USD
HRO,Boone County,HRO,Harrison,United States,USD
HSG,Saga Airport,HSG,Saga,Japan,JPY
HSI,Hastings,HSI,Hastings,United States,USD
HSK,Huesca - Pirineos,HSK,Huesca,Spain,EUR
HSL,Huslia,HSL,Huslia,United States,USD
HST,Homestead,HST,Homestead,United States,USD
HSV,Madison County,HSV,Huntsville,United States,USD
HTA,Chita,HTA,Chita,Russian Federation,RUB
HTI,Hamilton Island,HTI,Hamilton Island,Australia,AUD
HTO,East Hampton,HTO,East Hampton,United States,USD
HTR,Hateruma,HTR,Hateruma,Japan,JPY
HTS,Huntington,HTS,Ashland,United States,USD
HTY,Hatay Airport,HTY,Hatay,Turkey,TRY
HUB,HUMBERT RIVER,HUB,Humbert River,Australia,AUD
HUE,Humera,HUE,Humera,Ethiopia,ETB
HUF,Hulman Field,HUF,Terre Haute,United States,USD
HUG,Huehuetenango Airport,HUG,Huehuetenango,Guatemala,GTQ
HUH,Flying Boat,HUH,Huahine Island,French Polynesia,XPF
HUI,Hue - Phu Bai,HUI,Hue,Vietnam,VND
HUK,Hukuntsi,HUK,Hukuntsi,Botswana,BWP
HUM,Houma - Terrebonne Airport,HUM,Houma,United States,USD
HUN,Hualien,HUN,Hualien,Taiwan,TWD
HUQ,Houn,HUQ,Houn,Libyan Arab Jamahiriya,LYD
HUS,Hughes Municipal,HUS,Hughes,United States,USD
HUT,Hutchison,HUT,Hutchison,United States,USD
HUV,Hudiksvall,HUV,Hudiksvall,Sweden,SEK
HUW,Humaita Airport,HUW,Humaita,Brazil,BRL
HUX,Huatulco,HUX,Huatulco,Mexico,MXN
HUY,Humberside,HUY,Humberside,United Kingdom,GBP
HVA,Analalava,HVA,Analalava,Madagascar,MGA
HVB,Hervey Bay,HVB,Hervey Bay,Australia,AUD
HVG,Valan,HVG,Honningsvag,Norway,NOK
HVN,New Haven,HVN,New Haven,United States,USD
HVR,Havre City County,HVR,Havre,United States,USD
HWN,Hwange Nat Park,HWN,Hwange National Park,Zimbabwe,ZWD
HWO,Norht Perry,HWO,Hollywood,United States,USD
HXX,Hay,HXX,Hay,Australia,AUD
HYA,Barnstable,HYA,Hyannis,United States,USD
HYD,Shamsabad International Airport,HYD,Hyderabad,India,INR
HYG,Hydaburg,HYG,Hydaburg,United States,USD
HYL,Hollis,HYL,Hollis,United States,USD
HYN,Huangyan,HYN,Huangyan,China,CNY
HYS,Hays Municipal,HYS,Hays,United States,USD
HZK,Husavik,HZK,Husavik,Iceland,ISK
IAA,Igarka,IAA,Igarka,Russian Federation,RUB
IAG,Niagara Falls Int'l,IAG,Niagara Falls,United States,USD
IAM,In Amenas,IAM,In Amenas,Algeria,DZD
IAN,Bob Barker Memorial,IAN,Kiana,United States,USD
IAO,Sayak Airport,IAO,Siargao Island,Philippines,PHP
IAR,Tunoshna Airport,IAR,Yaroslavl,Russian Federation,RUB
IAS,Iasi,IAS,Iasi,Romania,RON
IBA,Ibadan,IBA,Ibadan,Nigeria,NGN
IBE,Ibague,IBE,Ibague,Colombia,COP
IBR,Ibaraki Airport,IBR,Omitama,Japan,JPY
